uniprot.id	protein	gene	protein.orig	p.value
P14174	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)	MIF	macrophage migration inhibitory factor	2.1e-03
U3KQF3	Triosephosphate isomerase (EC 5.3.1.1)	TPI1	triosephosphate isomerase 1 variant	4.2e-04
Q6FGX5	Metalloproteinase inhibitor 1 (Tissue inhibitor of metalloproteinases 1)	TIMP1	Metalloproteinase inhibitor 1 precursor	1.6e-05
P30740	Epididymis luminal protein 57 (Epididymis secretory protein Li 27) (Serpin peptidase inhibitor, clade B (Ovalbumin), member 1, isoform CRA_a)	SERPINB1	leukocyte elastase inhibitor	2.3e-05
V9HWE9	Glutathione S-transferase (EC 2.5.1.18) (GST class-pi)	GSTP1	glutathione S-transferase P	2.3e-05
U3KQP0	Brain acid soluble protein 1	BASP1	brain acid soluble protein 1	1.9e–03
P63104	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAZ	14-3-3 protein zeta/delta	1.6e-03
P15153	Ras-related C3 botulinum toxin substrate 2 (GX) (Small G protein) (p21-Rac2)	RAC2	Ras-related C3 botulinum toxin substrate 2 precursor	2.1e-02
V9HWG9	Glutathione S-transferase omega (GSTO) (EC 1.20.4.2) (EC 1.8.5.1) (EC 2.5.1.18) (Glutathione-dependent dehydroascorbate reductase) (Monomethylarsonic acid reductase)	GSTO1	glutathione transferase omega-1	1.7e-06
Q8IWL2	Pulmonary surfactant-associated protein A1 (PSP-A) (PSPA) (SP-A) (SP-A1) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-4)	SFTPA1	similar to Pulmonary surfactant-associated protein A1 precursor	3.6e-02
B4DJ51	NA	CALM2; CALM1; CALM3	calmodulin	9.1e-04
P0DMV9	NA	HSPA1B; HSPA1A	heat shock 70 kDa protein 1B	8.5e-05
V9HWN7	Fructose-bisphosphate aldolase (EC 4.1.2.13)	ALDOA	fructose-bisphosphate aldolase A	7.9e-04
P52209	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	PGD	6-phosphogluconate dehydrogenase, decarboxylating	5.1e-03
P52565	Epididymis secretory sperm binding protein Li 47e (Rho GDP dissociation inhibitor (GDI) alpha, isoform CRA_a) (Rho GDP dissociation inhibitor alpha isoform 1)	ARHGDIA	Rho GDP-dissociation inhibitor 1	2.0e-04
O14950	Myosin regulatory light chain 12B (MLC-2A) (MLC-2) (Myosin regulatory light chain 2-B, smooth muscle isoform) (Myosin regulatory light chain 20 kDa) (MLC20) (Myosin regulatory light chain MRLC2) (SHUJUN-1)	MRLC2	myosin regulatory light chain	5.7e-03
P10599	Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP) (allergen Hom s Trx)	TXN	thioredoxin	4.5e-03
V9HVY3	Protein disulfide-isomerase (EC 5.3.4.1)	PDIA3	protein disulfide-isomerase A3 precursor	6.4e-04
P04040	Catalase	CAT	catalase	1.9e-03
P26038	Epididymis luminal protein 70 (Moesin, isoform CRA_a)	MSN	moesin	7.6e-04
P00558	Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)	PGK1	phosphoglycerate kinase 1	5.0e-04
P07737	Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)	PFN1	profilin-1	1.3e-03
P07711	Procathepsin L (EC 3.4.22.15) (Cathepsin L1) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain]	CTSL1	cathepsin L precursor	3.9e-03
P11021	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	HSPA5	HSPA5 protein	9.0e-04
Q6FHU2	Phosphoglycerate mutase (EC 5.4.2.11) (EC 5.4.2.4)	hCG_2015269	similar to phosphoglycerate mutase 1 (phosphoglycerate mutase isozyme B) (PGAM-B) (BPG-dependent PGAM 1) isoform 1	6.3e-04
Q5W0X3	FK506 binding protein12 (Peptidyl-prolyl cis-trans isomerase FKBP1A)	FKBP1A	FKBP1A protein	9.3e-03
O43707	ACTN4 protein	ACTN4	α-actinin-4	4.4e-05
P15531	Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Granzyme A-activated DNase) (GAAD) (Metastasis inhibition factor nm23) (NM23-H1) (Tumor metastatic process-associated protein)	NME1	nucleoside diphosphate kinase A	1.3e-02
P61981	14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	YWHAG	14-3-3 protein-γ	7.0e-06
Q8TE27	Polymeric immunoglobulin receptor	PIGR	polymeric-immunoglobulin receptor precursor	3.3e-02
Q6NXF2	FLNA protein	FLNA	filamin A, α	1.0e-03
V9HWK2	Vinculin (Metavinculin)	VCL	isoform 1 of Vinculin	1.6e-02
P22894	Neutrophil collagenase (EC 3.4.24.34) (Matrix metalloproteinase-8) (MMP-8) (PMNL collagenase) (PMNL-CL)	MMP8	neutrophil collagenase precursor	7.9e-03
P27348	Uncharacterized protein YWHAQ	YWHAQ	14-3-3 protein theta	1.2e-02
P08727	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)	KRT19	keratin, type I cytoskeletal 19	6.0e-03
P61626	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)	LYZ	lysozyme C precursor	2.4e-03
P04792	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1	heat-shock protein β-1	6.2e-03
Q06830	Peroxiredoxin-1 (EC 1.11.1.24) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Thioredoxin-dependent peroxiredoxin 1)	PRDX1	peroxiredoxin-1	3.9e-03
O95336	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	PGLS	6-phosphogluconolactonase	2.7e-02
P02790	Hemopexin (Beta-1B-glycoprotein)	HPX	hemopexin precursor	1.4e-02
T1RTD8	COL1A1	COL1A1	collagen α-1(I) chain precursor	2.4e-02
Q5TBF5	Mimecan	OGN	mimecan precursor	1.7e-02
P14384	Carboxypeptidase M (CPM) (EC 3.4.17.12)	CPM	carboxypeptidase M precursor	4.4e-05
P13727	Peroxidasin homolog (EC 1.11.2.-) (Melanoma-associated antigen MG50) (Peroxidasin 1) (hsPxd01) (Vascular peroxidase 1) (p53-responsive gene 2 protein) [Cleaved into: PXDN active fragment]	PRG2	bone-marrow proteoglycan precursor	8.3e-03
P19801	Amiloride-sensitive amine oxidase [copper-containing] (DAO) (Diamine oxidase) (EC 1.4.3.22) (Amiloride-binding protein 1) (Amine oxidase copper domain-containing protein 1) (Histaminase) (Kidney amine oxidase) (KAO)	ABP1	isoform 2 of Amiloride-sensitive amine oxidase [copper-containing] precursor	7.7e-05
